structure,operation,dataset_size,n,mean_ns,median_ns,std_ns,ci99_low,ci99_high,cv_pct
ArrayList,delete,1000,30,49391.8,23482.53,68101.29,15120.17,83663.42,137.88
ArrayList,delete,10000,30,19623.72,19341.84,2432.85,18399.4,20848.04,12.4
ArrayList,delete,100000,30,1269170.49,1306487.44,206826.44,1165086.14,1373254.85,16.3
ArrayList,delete,1000000,30,13964676.84,13788911.57,990449.39,13466238.22,14463115.45,7.09
ArrayList,insert,1000,30,20.8,20.87,0.79,20.4,21.2,3.82
ArrayList,insert,10000,30,21.3,21.32,0.92,20.84,21.77,4.33
ArrayList,insert,100000,30,21.03,20.98,1.36,20.35,21.71,6.45
ArrayList,insert,1000000,30,7053.42,5913.36,7296.47,3381.5,10725.33,103.45
ArrayList,iterate,1000,30,2097.92,2122.87,175.35,2009.67,2186.16,8.36
ArrayList,iterate,10000,30,54684.32,49818.51,36836.43,36146.57,73222.06,67.36
ArrayList,iterate,100000,30,1437068.09,1382209.17,232585.77,1320020.49,1554115.7,16.18
ArrayList,iterate,1000000,30,20973619.72,20663190.0,7204881.14,17347799.94,24599439.49,34.35
ArrayList,search,1000,30,1088.87,1132.72,181.53,997.52,1180.23,16.67
ArrayList,search,10000,30,14023.48,13612.86,4085.8,11967.32,16079.64,29.14
ArrayList,search,100000,30,529152.49,527177.84,55419.58,501262.87,557042.11,10.47
ArrayList,search,1000000,30,7459142.27,7252967.85,2204828.8,6349573.4,8568711.15,29.56
ArrayList,update,1000,30,886.76,896.4,85.96,843.5,930.02,9.69
ArrayList,update,10000,30,15975.59,15874.65,6152.89,12879.18,19072.0,38.51
ArrayList,update,100000,30,433989.81,433930.93,26932.25,420436.3,447543.33,6.21
ArrayList,update,1000000,30,6021439.76,6037883.11,1400914.95,5316436.44,6726443.08,23.27
HashMap,delete,1000,30,52.57,52.94,6.62,49.23,55.9,12.6
HashMap,delete,10000,30,75.7,76.28,7.35,72.0,79.4,9.71
HashMap,delete,100000,30,87.89,86.22,12.77,81.47,94.32,14.53
HashMap,delete,1000000,30,111.73,110.7,7.81,107.79,115.66,6.99
HashMap,insert,1000,30,537.91,467.51,510.22,281.15,794.67,94.85
HashMap,insert,10000,30,9055.31,6291.03,10676.14,3682.6,14428.02,117.9
HashMap,insert,100000,30,666.17,691.09,417.21,456.21,876.12,62.63
HashMap,insert,1000000,30,235.59,243.22,73.6,198.55,272.63,31.24
HashMap,iterate,1000,30,9189.45,9163.22,1798.48,8284.37,10094.52,19.57
HashMap,iterate,10000,30,90273.47,90507.37,9025.66,85731.36,94815.59,10.0
HashMap,iterate,100000,30,2137005.24,2116846.87,256234.49,2008056.54,2265953.94,11.99
HashMap,iterate,1000000,30,23824442.6,23966699.36,1771577.78,22932905.09,24715980.1,7.44
HashMap,search,1000,30,14.47,14.28,1.36,13.78,15.15,9.44
HashMap,search,10000,30,23.75,23.5,3.51,21.99,25.52,14.76
HashMap,search,100000,30,40.66,40.31,5.74,37.77,43.55,14.12
HashMap,search,1000000,30,70.76,75.75,39.58,50.84,90.68,55.94
HashMap,update,1000,30,57.95,58.92,7.0,54.43,61.47,12.07
HashMap,update,10000,30,95.97,98.87,14.18,88.83,103.11,14.78
HashMap,update,100000,30,211.05,212.58,63.41,179.14,242.97,30.05
HashMap,update,1000000,30,584.69,585.79,184.24,491.97,677.4,31.51
